==============Loading domain:  bugadacargnel.com
---Loading completed
-2319.287:	http://bugadacargnel.com/fr/pages/expositions.php?name=halukakakce-annikalarsson&page=communique
-2458.991:	http://bugadacargnel.com/fr/pages/artistes.php?name=annikalarsson&page=portfolio&categ=10
-2465.751:	http://bugadacargnel.com/fr/pages/expositions.php?name=halukakakce-annikalarsson&page=oeuvrespresentees
-2494.623:	http://bugadacargnel.com/fr/pages/expositions.php?name=34&page=communique
-2494.623:	http://bugadacargnel.com/fr/pages/expositions.php?name=34
-2501.640:	http://bugadacargnel.com/fr/pages/expositions.php?name=annikalarsson
-2501.640:	http://bugadacargnel.com/fr/pages/expositions.php?name=annikalarsson&page=communique
-2518.169:	http://bugadacargnel.com/fr/pages/expositions.php?name=tobiasbernstrup-miltosmanetas&page=communique
-2518.169:	http://bugadacargnel.com/fr/pages/expositions.php?name=tobiasbernstrup-miltosmanetas
-2518.919:	http://bugadacargnel.com/fr/pages/artistes.php?name=annikalarsson&page=presentation
-2518.919:	http://bugadacargnel.com/fr/pages/artistes.php?name=annikalarsson
-2522.367:	http://bugadacargnel.com/fr/pages/expositions.php?name=70
-2522.367:	http://bugadacargnel.com/fr/pages/expositions.php?name=70&page=communique
-2525.374:	http://bugadacargnel.com/fr/pages/artistes.php?name=pierrebismuth&page=portfolio&categ=27
---------- http://bugadacargnel.com/en/pages/expositions.php?name=marcoboggiosella-pierogolia-marcellosimeone&page=oeuvrespresentees
---gold(rank=0, score=-6530.710):http://bugadacargnel.com/fr/pages/expositions.php?name=marcoboggiosella-pierogolia-marcellosimeone&page=oeuvrespresentees
-6530.710:	http://bugadacargnel.com/fr/pages/expositions.php?name=marcoboggiosella-pierogolia-marcellosimeone&page=oeuvrespresentees
-6649.336:	http://bugadacargnel.com/fr/pages/expositions.php?name=marcoboggiosella-pierogolia-marcellosimeone
-6649.336:	http://bugadacargnel.com/fr/pages/expositions.php?name=marcoboggiosella-pierogolia-marcellosimeone&page=communique
-7162.515:	http://bugadacargnel.com/fr/pages/expositions.php?name=vanessabeecroft&page=communique
-7162.515:	http://bugadacargnel.com/fr/pages/expositions.php?name=vanessabeecroft
-7201.030:	http://bugadacargnel.com/fr/pages/expositions.php?name=marcoboggiosella-pierogolia-marcellosimeone&page=presse&presse=2
-7221.545:	http://bugadacargnel.com/fr/pages/expositions.php?name=pierogolia-christianjankowski-giannimotti
-7221.545:	http://bugadacargnel.com/fr/pages/expositions.php?name=pierogolia-christianjankowski-giannimotti&page=communique
-7251.380:	http://bugadacargnel.com/fr/pages/expositions.php?name=25&page=communique
-7251.380:	http://bugadacargnel.com/fr/pages/expositions.php?name=25
-7261.575:	http://bugadacargnel.com/fr/pages/expositions.php?name=pierogolia-christianjankowski-giannimotti&page=oeuvrespresentees
-7263.643:	http://bugadacargnel.com/fr/pages/expositions.php?name=tobiasbernstrup-miltosmanetas&page=communique
-7263.643:	http://bugadacargnel.com/fr/pages/expositions.php?name=tobiasbernstrup-miltosmanetas
-7276.415:	http://bugadacargnel.com/fr/pages/expositions.php?name=sarahemerson-vidyagastaldon-mariamarshall
-7276.415:	http://bugadacargnel.com/fr/pages/expositions.php?name=sarahemerson-vidyagastaldon-mariamarshall&page=communique
---------- http://bugadacargnel.com/en/pages/expositions.php?name=marcbijl
---gold(rank=0, score=-4036.086):http://bugadacargnel.com/fr/pages/expositions.php?name=marcbijl
-4036.086:	http://bugadacargnel.com/fr/pages/expositions.php?name=marcbijl
-4036.086:	http://bugadacargnel.com/fr/pages/expositions.php?name=marcbijl&page=communique
-4336.766:	http://bugadacargnel.com/fr/pages/expositions.php?name=53
-4336.766:	http://bugadacargnel.com/fr/pages/expositions.php?name=53&page=communique
-4351.911:	http://bugadacargnel.com/fr/pages/expositions.php?name=25&page=communique
-4351.911:	http://bugadacargnel.com/fr/pages/expositions.php?name=25
-4389.174:	http://bugadacargnel.com/fr/pages/expositions.php?name=matcollishaw-jameshopkins-richardwoods&page=communique
-4389.174:	http://bugadacargnel.com/fr/pages/expositions.php?name=matcollishaw-jameshopkins-richardwoods
-4389.570:	http://bugadacargnel.com/fr/pages/expositions.php?name=59&page=communique
-4389.570:	http://bugadacargnel.com/fr/pages/expositions.php?name=59
-4390.341:	http://bugadacargnel.com/fr/pages/expositions.php?name=34
-4390.341:	http://bugadacargnel.com/fr/pages/expositions.php?name=34&page=communique
-4394.864:	http://bugadacargnel.com/fr/pages/expositions.php?name=annikalarsson&page=communique
-4394.864:	http://bugadacargnel.com/fr/pages/expositions.php?name=annikalarsson
-4395.115:	http://bugadacargnel.com/fr/pages/expositions.php?name=37&page=communique
---------- http://bugadacargnel.com/en/pages/artistes.php?name=18492&page=portfolio
---gold(rank=1, score=-13338.154):http://bugadacargnel.com/fr/pages/artistes.php?name=18492&page=portfolio
-13338.154:	http://bugadacargnel.com/fr/pages/artistes.php?name=18492&page=portfolio&categ=85
-13338.154:	http://bugadacargnel.com/fr/pages/artistes.php?name=18492&page=portfolio
-14625.606:	http://bugadacargnel.com/fr/pages/expositions.php?name=39&page=communique
-14625.606:	http://bugadacargnel.com/fr/pages/expositions.php?name=39
-14679.007:	http://bugadacargnel.com/fr/pages/artistes.php?name=18492&page=presentation
-14679.007:	http://bugadacargnel.com/fr/pages/artistes.php?name=18492
-14720.693:	http://bugadacargnel.com/fr/pages/artistes.php?name=18492&page=portfolio&categ=3
-14774.794:	http://bugadacargnel.com/fr/pages/expositions.php?name=54&page=communique
-14774.794:	http://bugadacargnel.com/fr/pages/expositions.php?name=54
-14793.107:	http://bugadacargnel.com/fr/pages/expositions.php?name=54&page=oeuvrespresentees
-14811.268:	http://bugadacargnel.com/fr/pages/expositions.php?name=30
-14811.268:	http://bugadacargnel.com/fr/pages/expositions.php?name=30&page=communique
-14828.230:	http://bugadacargnel.com/fr/pages/expositions.php?name=39&page=oeuvrespresentees
-14838.678:	http://bugadacargnel.com/fr/pages/artistes.php?name=18492&page=portfolio&categ=54
-14848.643:	http://bugadacargnel.com/fr/pages/expositions.php?name=71&page=communique
---------- http://bugadacargnel.com/en/pages/expositions.php?name=35&page=oeuvrespresentees
---gold(rank=0, score=-7622.947):http://bugadacargnel.com/fr/pages/expositions.php?name=35&page=oeuvrespresentees
-7622.947:	http://bugadacargnel.com/fr/pages/expositions.php?name=35&page=oeuvrespresentees
-7739.467:	http://bugadacargnel.com/fr/pages/expositions.php?name=35
-7739.467:	http://bugadacargnel.com/fr/pages/expositions.php?name=35&page=communique
-8044.889:	http://bugadacargnel.com/fr/pages/artistes.php?name=matcollishaw&page=portfolio
-8044.889:	http://bugadacargnel.com/fr/pages/artistes.php?name=matcollishaw&page=portfolio&categ=3
-8064.427:	http://bugadacargnel.com/fr/pages/expositions.php?name=40&page=oeuvrespresentees
-8097.646:	http://bugadacargnel.com/fr/pages/expositions.php?name=40&page=communique
-8097.646:	http://bugadacargnel.com/fr/pages/expositions.php?name=40
-8100.965:	http://bugadacargnel.com/fr/pages/artistes.php?name=pierrebismuth&page=portfolio&categ=27
-8112.308:	http://bugadacargnel.com/fr/pages/artistes.php?name=21687&page=portfolio&categ=32
-8112.408:	http://bugadacargnel.com/fr/pages/artistes.php?name=18492&page=portfolio&categ=3
-8116.969:	http://bugadacargnel.com/fr/pages/expositions.php?name=59&page=oeuvrespresentees
-8117.772:	http://bugadacargnel.com/fr/pages/artistes.php?name=pierrebismuth&page=portfolio&categ=3
-8117.772:	http://bugadacargnel.com/fr/pages/artistes.php?name=pierrebismuth&page=portfolio
-8119.988:	http://bugadacargnel.com/fr/pages/expositions.php?name=71
---------- http://bugadacargnel.com/en/pages/artistes.php?name=6564&page=portfolio
---gold(rank=0, score=-7967.424):http://bugadacargnel.com/fr/pages/artistes.php?name=6564&page=portfolio
-7967.424:	http://bugadacargnel.com/fr/pages/artistes.php?name=6564&page=portfolio
-7967.424:	http://bugadacargnel.com/fr/pages/artistes.php?name=6564&page=portfolio&categ=46
-8450.392:	http://bugadacargnel.com/fr/pages/artistes.php?name=6564&page=portfolio&categ=32
-8479.204:	http://bugadacargnel.com/fr/pages/artistes.php?name=6564&page=presentation
-8479.204:	http://bugadacargnel.com/fr/pages/artistes.php?name=6564
-8548.218:	http://bugadacargnel.com/en/pages/artistes.php?name=73501&page=portfolio&categ=105
-8558.309:	http://bugadacargnel.com/fr/pages/artistes.php?name=pierrebismuth&page=portfolio&categ=27
-8562.398:	http://bugadacargnel.com/fr/pages/artistes.php?name=21687&page=portfolio
-8562.398:	http://bugadacargnel.com/fr/pages/artistes.php?name=21687&page=portfolio&categ=3
-8568.977:	http://bugadacargnel.com/fr/pages/artistes.php?name=69465&page=portfolio&categ=3
-8570.463:	http://bugadacargnel.com/fr/pages/artistes.php?name=71159&page=portfolio&categ=129
-8578.890:	http://bugadacargnel.com/fr/pages/expositions.php?name=23
-8578.890:	http://bugadacargnel.com/fr/pages/expositions.php?name=23&page=communique
-8581.103:	http://bugadacargnel.com/fr/pages/artistes.php?name=6564&page=portfolio&categ=3
-8586.743:	http://bugadacargnel.com/fr/pages/expositions.php?name=marcbijl&page=communique
---------- http://bugadacargnel.com/en/pages/expositions.php?name=sarahemerson-vidyagastaldon-mariamarshall
---gold(rank=0, score=-8459.948):http://bugadacargnel.com/fr/pages/expositions.php?name=sarahemerson-vidyagastaldon-mariamarshall
-8459.948:	http://bugadacargnel.com/fr/pages/expositions.php?name=sarahemerson-vidyagastaldon-mariamarshall
-8459.948:	http://bugadacargnel.com/fr/pages/expositions.php?name=sarahemerson-vidyagastaldon-mariamarshall&page=communique
-9239.445:	http://bugadacargnel.com/fr/pages/expositions.php?name=laetitiabenat-pierrebismuth&page=communique
-9239.445:	http://bugadacargnel.com/fr/pages/expositions.php?name=laetitiabenat-pierrebismuth
-9268.363:	http://bugadacargnel.com/fr/pages/expositions.php?name=sarahemerson-vidyagastaldon-mariamarshall&page=oeuvrespresentees
-9270.927:	http://bugadacargnel.com/fr/pages/expositions.php?name=59&page=communique
-9270.927:	http://bugadacargnel.com/fr/pages/expositions.php?name=59
-9277.045:	http://bugadacargnel.com/fr/pages/expositions.php?name=halukakakce-annikalarsson&page=communique
-9277.045:	http://bugadacargnel.com/fr/pages/expositions.php?name=halukakakce-annikalarsson
-9277.053:	http://bugadacargnel.com/fr/pages/expositions.php?name=matcollishaw-jameshopkins-richardwoods&page=communique
-9277.053:	http://bugadacargnel.com/fr/pages/expositions.php?name=matcollishaw-jameshopkins-richardwoods
-9277.998:	http://bugadacargnel.com/fr/pages/artistes.php?name=6564&page=portfolio&categ=4
-9278.807:	http://bugadacargnel.com/fr/pages/expositions.php?name=tobiasbernstrup-miltosmanetas&page=communique
-9278.807:	http://bugadacargnel.com/fr/pages/expositions.php?name=tobiasbernstrup-miltosmanetas
-9278.921:	http://bugadacargnel.com/fr/pages/expositions.php?name=30&page=communique
---------- http://bugadacargnel.com/en/pages/expositions.php?name=40
---gold(rank=0, score=-7384.386):http://bugadacargnel.com/fr/pages/expositions.php?name=40
-7384.386:	http://bugadacargnel.com/fr/pages/expositions.php?name=40
-7384.386:	http://bugadacargnel.com/fr/pages/expositions.php?name=40&page=communique
-7582.741:	http://bugadacargnel.com/fr/pages/expositions.php?name=40&page=oeuvrespresentees
-7857.321:	http://bugadacargnel.com/fr/pages/artistes.php?name=20579&page=portfolio&categ=48
-7863.532:	http://bugadacargnel.com/fr/pages/expositions.php?name=59
-7863.532:	http://bugadacargnel.com/fr/pages/expositions.php?name=59&page=communique
-7876.122:	http://bugadacargnel.com/fr/pages/expositions.php?name=35
-7876.122:	http://bugadacargnel.com/fr/pages/expositions.php?name=35&page=communique
-7876.314:	http://bugadacargnel.com/fr/pages/artistes.php?name=20579&page=portfolio&categ=60
-7892.645:	http://bugadacargnel.com/fr/pages/expositions.php?name=35&page=oeuvrespresentees
-7897.808:	http://bugadacargnel.com/fr/pages/artistes.php?name=20579&page=portfolio&categ=1
-7916.929:	http://bugadacargnel.com/fr/pages/expositions.php?name=37
-7916.929:	http://bugadacargnel.com/fr/pages/expositions.php?name=37&page=communique
-7924.526:	http://bugadacargnel.com/fr/pages/artistes.php?name=18492&page=portfolio&categ=3
-7933.917:	http://bugadacargnel.com/fr/pages/expositions.php?name=33
---------- http://bugadacargnel.com/en/pages/expositions.php?name=33
---gold(rank=1, score=-9924.609):http://bugadacargnel.com/fr/pages/expositions.php?name=33
-9924.609:	http://bugadacargnel.com/fr/pages/expositions.php?name=33&page=communique
-9924.609:	http://bugadacargnel.com/fr/pages/expositions.php?name=33
-10124.542:	http://bugadacargnel.com/fr/pages/expositions.php?name=33&page=oeuvrespresentees
-10554.310:	http://bugadacargnel.com/fr/pages/artistes.php?name=pierrebismuth&page=portfolio
-10554.310:	http://bugadacargnel.com/fr/pages/artistes.php?name=pierrebismuth&page=portfolio&categ=3
-10559.169:	http://bugadacargnel.com/fr/pages/expositions.php?name=pierrebismuth&page=communique
-10559.169:	http://bugadacargnel.com/fr/pages/expositions.php?name=pierrebismuth
-10566.884:	http://bugadacargnel.com/fr/pages/expositions.php?name=70&page=communique
-10566.884:	http://bugadacargnel.com/fr/pages/expositions.php?name=70
-10579.365:	http://bugadacargnel.com/fr/pages/expositions.php?name=laetitiabenat-pierrebismuth&page=communique
-10579.365:	http://bugadacargnel.com/fr/pages/expositions.php?name=laetitiabenat-pierrebismuth
-10587.060:	http://bugadacargnel.com/fr/pages/expositions.php?name=tobiasbernstrup-miltosmanetas
-10587.060:	http://bugadacargnel.com/fr/pages/expositions.php?name=tobiasbernstrup-miltosmanetas&page=communique
-10595.722:	http://bugadacargnel.com/fr/pages/expositions.php?name=40
-10595.722:	http://bugadacargnel.com/fr/pages/expositions.php?name=40&page=communique
---------- http://bugadacargnel.com/en/pages/expositions.php?name=matcollishaw-jameshopkins-richardwoods&page=oeuvrespresentees
---gold(rank=0, score=-13108.886):http://bugadacargnel.com/fr/pages/expositions.php?name=matcollishaw-jameshopkins-richardwoods&page=oeuvrespresentees
-13108.886:	http://bugadacargnel.com/fr/pages/expositions.php?name=matcollishaw-jameshopkins-richardwoods&page=oeuvrespresentees
-13495.594:	http://bugadacargnel.com/fr/pages/expositions.php?name=matcollishaw-jameshopkins-richardwoods&page=communique
-13495.594:	http://bugadacargnel.com/fr/pages/expositions.php?name=matcollishaw-jameshopkins-richardwoods
-14146.591:	http://bugadacargnel.com/fr/pages/artistes.php?name=matcollishaw&page=portfolio
-14146.591:	http://bugadacargnel.com/fr/pages/artistes.php?name=matcollishaw&page=portfolio&categ=3
-14256.384:	http://bugadacargnel.com/fr/pages/expositions.php?name=jameshopkins&page=oeuvrespresentees
-14292.086:	http://bugadacargnel.com/fr/pages/expositions.php?name=jameshopkins&page=communique
-14292.086:	http://bugadacargnel.com/fr/pages/expositions.php?name=jameshopkins
-14305.071:	http://bugadacargnel.com/fr/pages/artistes.php?name=18492&page=portfolio&categ=54
-14309.415:	http://bugadacargnel.com/fr/pages/expositions.php?name=39&page=oeuvrespresentees
-14327.645:	http://bugadacargnel.com/fr/pages/expositions.php?name=73
-14327.645:	http://bugadacargnel.com/fr/pages/expositions.php?name=73&page=communique
-14336.546:	http://bugadacargnel.com/fr/pages/expositions.php?name=62&page=oeuvrespresentees
-14345.328:	http://bugadacargnel.com/fr/pages/expositions.php?name=laetitiabenat-pierrebismuth
-14345.328:	http://bugadacargnel.com/fr/pages/expositions.php?name=laetitiabenat-pierrebismuth&page=communique
---------- http://bugadacargnel.com/en/pages/artistes.php?name=matcollishaw&page=portfolio&categ=32
---gold(rank=0, score=-7623.554):http://bugadacargnel.com/fr/pages/artistes.php?name=matcollishaw&page=portfolio&categ=32
-7623.554:	http://bugadacargnel.com/fr/pages/artistes.php?name=matcollishaw&page=portfolio&categ=32
-7862.796:	http://bugadacargnel.com/fr/pages/expositions.php?name=matcollishaw&page=oeuvrespresentees
-8142.271:	http://bugadacargnel.com/fr/pages/expositions.php?name=matcollishaw&page=communique
-8142.271:	http://bugadacargnel.com/fr/pages/expositions.php?name=matcollishaw
-8399.849:	http://bugadacargnel.com/fr/pages/expositions.php?name=laetitiabenat-pierrebismuth&page=communique
-8399.849:	http://bugadacargnel.com/fr/pages/expositions.php?name=laetitiabenat-pierrebismuth
-8406.161:	http://bugadacargnel.com/fr/pages/artistes.php?name=21687&page=portfolio&categ=32
-8419.026:	http://bugadacargnel.com/fr/pages/artistes.php?name=pierrebismuth&page=portfolio&categ=27
-8429.300:	http://bugadacargnel.com/fr/pages/expositions.php?name=halukakakce-annikalarsson&page=oeuvrespresentees
-8439.865:	http://bugadacargnel.com/fr/pages/expositions.php?name=70&page=oeuvrespresentees
-8440.152:	http://bugadacargnel.com/fr/pages/expositions.php?name=matcollishaw-jameshopkins-richardwoods&page=oeuvrespresentees
-8440.295:	http://bugadacargnel.com/fr/pages/expositions.php?name=jameshopkins&page=oeuvrespresentees
-8449.663:	http://bugadacargnel.com/fr/pages/expositions.php?name=62&page=oeuvrespresentees
-8451.491:	http://bugadacargnel.com/fr/pages/artistes.php?name=69465&page=portfolio&categ=3
-8455.570:	http://bugadacargnel.com/fr/pages/expositions.php?name=jameshopkins
---------- http://bugadacargnel.com/en/pages/expositions.php?name=24
---gold(rank=0, score=-5019.868):http://bugadacargnel.com/fr/pages/expositions.php?name=24
-5019.868:	http://bugadacargnel.com/fr/pages/expositions.php?name=24
-5019.868:	http://bugadacargnel.com/fr/pages/expositions.php?name=24&page=communique
-5263.525:	http://bugadacargnel.com/fr/pages/artistes.php?name=6564&page=portfolio&categ=4
-5281.091:	http://bugadacargnel.com/fr/pages/expositions.php?name=24&page=oeuvrespresentees
-5303.589:	http://bugadacargnel.com/fr/pages/artistes.php?name=6564
-5303.589:	http://bugadacargnel.com/fr/pages/artistes.php?name=6564&page=presentation
-5385.979:	http://bugadacargnel.com/fr/pages/artistes.php?name=6564&page=portfolio&categ=3
-5396.259:	http://bugadacargnel.com/fr/pages/artistes.php?name=6564&page=portfolio&categ=32
-5402.422:	http://bugadacargnel.com/fr/pages/expositions.php?name=35
-5402.422:	http://bugadacargnel.com/fr/pages/expositions.php?name=35&page=communique
-5412.092:	http://bugadacargnel.com/fr/pages/artistes.php?name=21687&page=portfolio&categ=4
-5414.604:	http://bugadacargnel.com/fr/pages/expositions.php?name=53
-5414.604:	http://bugadacargnel.com/fr/pages/expositions.php?name=53&page=communique
-5415.434:	http://bugadacargnel.com/fr/pages/expositions.php?name=59&page=communique
-5415.434:	http://bugadacargnel.com/fr/pages/expositions.php?name=59
---------- http://bugadacargnel.com/en/pages/expositions.php?name=25
---gold(rank=1, score=-5147.498):http://bugadacargnel.com/fr/pages/expositions.php?name=25
-5147.498:	http://bugadacargnel.com/fr/pages/expositions.php?name=25&page=communique
-5147.498:	http://bugadacargnel.com/fr/pages/expositions.php?name=25
-5419.820:	http://bugadacargnel.com/fr/pages/expositions.php?name=25&page=oeuvrespresentees
-5603.870:	http://bugadacargnel.com/fr/pages/expositions.php?name=marcoboggiosella-pierogolia-marcellosimeone&page=communique
-5603.870:	http://bugadacargnel.com/fr/pages/expositions.php?name=marcoboggiosella-pierogolia-marcellosimeone
-5608.641:	http://bugadacargnel.com/fr/pages/expositions.php?name=30&page=communique
-5608.641:	http://bugadacargnel.com/fr/pages/expositions.php?name=30
-5610.493:	http://bugadacargnel.com/fr/pages/expositions.php?name=53
-5610.493:	http://bugadacargnel.com/fr/pages/expositions.php?name=53&page=communique
-5616.839:	http://bugadacargnel.com/fr/pages/expositions.php?name=35
-5616.839:	http://bugadacargnel.com/fr/pages/expositions.php?name=35&page=communique
-5625.183:	http://bugadacargnel.com/fr/pages/expositions.php?name=sarahemerson-vidyagastaldon-mariamarshall
-5625.183:	http://bugadacargnel.com/fr/pages/expositions.php?name=sarahemerson-vidyagastaldon-mariamarshall&page=communique
-5625.875:	http://bugadacargnel.com/fr/pages/expositions.php?name=71
-5625.875:	http://bugadacargnel.com/fr/pages/expositions.php?name=71&page=communique
---------- http://bugadacargnel.com/en/pages/expositions.php?name=36
---gold(rank=1, score=-6822.915):http://bugadacargnel.com/fr/pages/expositions.php?name=36
-6822.915:	http://bugadacargnel.com/fr/pages/expositions.php?name=36&page=communique
-6822.915:	http://bugadacargnel.com/fr/pages/expositions.php?name=36
-7451.272:	http://bugadacargnel.com/fr/pages/expositions.php?name=36&page=oeuvrespresentees
-7571.568:	http://bugadacargnel.com/fr/pages/expositions.php?name=tobiasbernstrup-miltosmanetas&page=communique
-7571.568:	http://bugadacargnel.com/fr/pages/expositions.php?name=tobiasbernstrup-miltosmanetas
-7582.138:	http://bugadacargnel.com/fr/pages/expositions.php?name=59&page=communique
-7582.138:	http://bugadacargnel.com/fr/pages/expositions.php?name=59
-7598.196:	http://bugadacargnel.com/fr/pages/artistes.php?name=18492&page=portfolio&categ=3
-7598.215:	http://bugadacargnel.com/fr/pages/artistes.php?name=irisvandongen&page=presentation
-7598.215:	http://bugadacargnel.com/fr/pages/artistes.php?name=irisvandongen
-7598.354:	http://bugadacargnel.com/fr/pages/expositions.php?name=33&page=communique
-7598.354:	http://bugadacargnel.com/fr/pages/expositions.php?name=33
-7599.495:	http://bugadacargnel.com/fr/pages/expositions.php?name=40
-7599.495:	http://bugadacargnel.com/fr/pages/expositions.php?name=40&page=communique
-7602.704:	http://bugadacargnel.com/fr/pages/expositions.php?name=laetitiabenat-pierrebismuth&page=communique
---------- http://bugadacargnel.com/en/pages/accueil.php
---gold(rank=0, score=-872.953):http://bugadacargnel.com/fr/pages/accueil.php
-872.953:	http://bugadacargnel.com/fr/pages/accueil.php
-933.968:	http://bugadacargnel.com/fr/pages/expositions.php?name=80&page=communique
-933.968:	http://bugadacargnel.com/fr/pages/expositions.php?name=80
-956.331:	http://bugadacargnel.com/fr/pages/expositions.php?name=79
-956.331:	http://bugadacargnel.com/fr/pages/expositions.php
-956.331:	http://bugadacargnel.com/fr/pages/expositions.php?name=79&page=communique
-974.153:	http://bugadacargnel.com/fr/pages/expositions.php?name=61
-974.153:	http://bugadacargnel.com/fr/pages/expositions.php?name=61&page=communique
-974.956:	http://bugadacargnel.com/fr/pages/expositions.php?name=25
-974.956:	http://bugadacargnel.com/fr/pages/expositions.php?name=25&page=communique
-975.383:	http://bugadacargnel.com/fr/pages/expositions.php?name=vanessabeecroft&page=communique
-975.383:	http://bugadacargnel.com/fr/pages/expositions.php?name=vanessabeecroft
-975.800:	http://bugadacargnel.com/fr/pages/expositions.php?name=75
-975.800:	http://bugadacargnel.com/fr/pages/expositions.php?name=75&page=communique
-976.432:	http://bugadacargnel.com/en/pages/expositions.php?name=79&page=presse&presse=1
---------- http://bugadacargnel.com/en/pages/expositions.php?name=irisvandongen
---gold(rank=0, score=-3678.443):http://bugadacargnel.com/fr/pages/expositions.php?name=irisvandongen
-3678.443:	http://bugadacargnel.com/fr/pages/expositions.php?name=irisvandongen
-3678.443:	http://bugadacargnel.com/fr/pages/expositions.php?name=irisvandongen&page=communique
-3994.080:	http://bugadacargnel.com/fr/pages/expositions.php?name=36
-3994.080:	http://bugadacargnel.com/fr/pages/expositions.php?name=36&page=communique
-4042.874:	http://bugadacargnel.com/fr/pages/artistes.php?name=irisvandongen&page=presentation
-4042.874:	http://bugadacargnel.com/fr/pages/artistes.php?name=irisvandongen
-4049.196:	http://bugadacargnel.com/fr/pages/expositions.php?name=laetitiabenat-pierrebismuth
-4049.196:	http://bugadacargnel.com/fr/pages/expositions.php?name=laetitiabenat-pierrebismuth&page=communique
-4060.507:	http://bugadacargnel.com/fr/pages/expositions.php?name=tobiasbernstrup-miltosmanetas&page=communique
-4060.507:	http://bugadacargnel.com/fr/pages/expositions.php?name=tobiasbernstrup-miltosmanetas
-4063.004:	http://bugadacargnel.com/fr/pages/expositions.php?name=24
-4063.004:	http://bugadacargnel.com/fr/pages/expositions.php?name=24&page=communique
-4063.120:	http://bugadacargnel.com/fr/pages/expositions.php?name=30&page=communique
-4063.120:	http://bugadacargnel.com/fr/pages/expositions.php?name=30
-4064.072:	http://bugadacargnel.com/fr/pages/expositions.php?name=irisvandongen&page=oeuvrespresentees
---------- http://bugadacargnel.com/en/pages/expositions.php?name=matcollishaw
---gold(rank=0, score=-3534.672):http://bugadacargnel.com/fr/pages/expositions.php?name=matcollishaw
-3534.672:	http://bugadacargnel.com/fr/pages/expositions.php?name=matcollishaw
